Date,Time,Name,Symbol,ID,Rank,Price,24h Change,Market Cap:,Total Volume:
4/15/2024, 16:36:42 UTC,Memecoin,MEME,memecoin-2,183,0.02691627,-0.0087,419555862,71878156
4/15/2024, 16:36:42 UTC,NodeAI,GPU,nodeai,340,1.635562071,0.1236,160168285,3310474
4/15/2024, 16:36:41 UTC,GALA,GALA,gala,63,0.04226198,-0.0131,1603500665,260207155
4/15/2024, 16:36:41 UTC,Baby Doge Coin,BABYDOGE,baby-doge-coin,260,0.000000002,0.0244,235842363,3930411
4/15/2024, 16:36:41 UTC,Brett,BRETT,based-brett,145,0.067847882,0.0561,574021588,11097822
4/15/2024, 15:06:42 UTC,Orbs,ORBS,orbs,324,0.041264275,0.0354,177142023,15615984
4/15/2024, 15:06:42 UTC,Niza Global,NIZA,niza-global,697,0.008445712,0.1163,48925052,24867903
4/15/2024, 15:06:42 UTC,Brett,BRETT,based-brett,146,0.067116644,0.0495,577919888,11118210
4/15/2024, 15:06:41 UTC,NodeAI,GPU,nodeai,323,1.826910003,0.1899,177956550,3252106
4/15/2024, 15:06:41 UTC,GALA,GALA,gala,63,0.043131906,0.0354,1641764539,254444442
4/15/2024, 14:14:29 UTC,Niza Global,NIZA,niza-global,649,0.010127037,0.3419,57965379,"25,272,388"
4/15/2024, 14:14:29 UTC,NodeAI,GPU,nodeai,321,1.878391043,0.2809,182226994,"3,356,645"
4/15/2024, 14:14:28 UTC,Brett,BRETT,based-brett,145,0.069372756,0.0761,589102940,"11,153,617"
4/15/2024, 14:14:28 UTC,Non-Playable Coin,NPC,non-playable-coin,867,0.004228484,0.1425,33956821,"356,538"
4/15/2024, 14:14:27 UTC,GALA,GALA,gala,63,0.044578868,0.0888,1680326002,"63,610,637"
4/15/2024, 14:07:49 UTC,Niza Global,NIZA,niza-global,647,0.010272156,0.3154,58373717,"25,337,242"
4/15/2024, 14:07:48 UTC,NodeAI,GPU,nodeai,321,1.870769215,0.2839,182591964,"3,354,694"
